Territory,Division,GDOS_ID,Name,Address,Phone,Zip,Duplicate,DoNotImport,Reason
USW,Southern California,8a78d5473e314c1b013e376e89030f45,"SAN DIEGO (Ray & Joan Kroc Corps Community Center), CA: Administrative Offices",,,,True,True,Marked as duplicate location
USW,Southern California,8a8280d779381e7a0179f7d490220019,Echelon San Diego,,,,False,True,Marked do not import
USW,Southern California,8a83c37f91eacea10191fca0d45d0002,"Murrieta, CA: Inland Empire",,,,True,True,Marked as duplicate location
USS,Potomac,8a83ffcd8fca4ef201903dd1a42e001f,Mecklenburg County VA (Clarksville) Service Unit,,,,True,True,Marked as duplicate location
USC,Eastern Michigan,8a8280647c12df61017c56ac0562000a,Houghton Lake Family Store,,,,True,True,Marked as duplicate location
USC,Heartland,402818763d5b8722013d5b9dd37d0576,"Galesburg, IL Family Thrift Store",,,,True,True,Marked as duplicate location
USC,Heartland,402818763d5b8722013d5ba1727d0609,"Kewanee, IL 360 Life Center",,,,True,True,Marked as duplicate location
USC,Heartland,402818763d5b8722013d5cc799d21eae,"Peoria, IL Veterans Outreach Center",,,,True,True,Marked as duplicate location
USC,Kansas & Western Missouri,2c9f7899958a51db0195a9d97c220008,Prospect Corps,,,,True,True,Marked as duplicate location
USC,Kansas & Western Missouri,8a808329616ab2ee01644c195fea01ca,Leavenworth,,,,True,True,Marked as duplicate location
USC,Metropolitan,402818763d5b8722013d5b9841a5042f,Territorial Headquarters,,,,True,True,Marked as duplicate location
USC,Midland,8a8280c274e87ad5017528dd7433000a,Ferguson Community Empowerment Center,,,,True,True,Marked as duplicate location
USC,Midland,8a8281b57a0443b9017a0aff30d2000c,Echelon St. Louis,,,,False,True,Marked do not import
USC,Northern,402818763d5b8722013d5b90fde7029a,Dakota County Social Services,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5b910b9302a0,Scott County Social Services,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5b9f570005b2,HOPE Harbor,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5ba43ac50675,Chisago County,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5ba44ca70678,Carver County Social Sevices,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5ba7b68e0705,Service Extension Southeast MN Area Manager,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5bb9a6790a44,Corrections Department,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5bdf21c20f48,Washington County Social Services,,,,True,True,Marked as duplicate location
USC,Northern,402818763d5b8722013d5c03ab00128d,Harvest Hills,,,,True,True,Marked as duplicate location
USC,Western,8a80823b5adc4fcd015d7a9b6d2b0208,"Spearfish, SD: Service Extension",,,,True,True,Marked as duplicate location
USC,Western,8a80827c6519911d016562f807300014,"Des Moines, IA: Adult Rehabilitation Center & Administrative Offices",,,,True,True,Marked as duplicate location
USC,Western,8a8280448dc6790a018dcc972a8d0002,The Salvation Army Boys & Girls Club of Norfolk,,,,True,True,Marked as duplicate location
USC,Wisconsin & Upper Michigan,8a56800346852a030147b6800b740134,Superior Thrift Store,,,,True,True,Marked as duplicate location
USC,Wisconsin & Upper Michigan,8a56800346852a030147c62f6c890145,La Crosse Thrift Store,,,,True,True,Marked as duplicate location
USC,Wisconsin & Upper Michigan,8a56800346852a030147c64b22f60153,Fond du Lac Thrift Store,,,,True,True,Marked as duplicate location
USC,Wisconsin & Upper Michigan,8a80827c6519911d01651b1c3a020000,Salvation Army Polk County,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe1b97b00101,"Salvation Army Corps (Valparaiso, IN) Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe2251d902aa,Fort Wayne Salvation Army Corps (IN) Donation Drop Box,,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe22b9c902c2,"Salvation Army Corps (Huntington, IN) Donation Drop Box",,,,True,True,Marked as duplicate location
USC,Adult Rehabilitation Centers Command (USC),8a551df64db0278a014dbe2311ef02d7,"Salvation Army Corps (Warsaw, IN) Donation Drop Box",,,,True,True,Marked as duplicate location
